Name,Category,MatchField,Pattern,MatchType,RiskLevel,DefaultAction,Reason,SourceURL,Vendor,From,TelemetrySource,Sanctioned
OpenClaw,Autonomous AI agent,ProcessCommandLine,openclaw,Contains,High,Review,Local autonomous assistant with gateway and node capabilities.,https://docs.openclaw.ai/windows,OpenClaw,Local,DeviceProcessEvents,false
NanoClaw,Autonomous AI agent,ProcessCommandLine,nanoclaw,Contains,High,Review,Container and shell-based autonomous agent; command-line detection is more reliable than executable-name detection.,https://github.com/nanocoai/nanoclaw,NanoClaw,Local,DeviceProcessEvents,false
Ollama,Local model runtime,FileName,ollama.exe,Exact,Medium,Review,Local model server that can provide the backend for agent applications.,https://ollama.com/,Ollama,Local,DeviceProcessEvents,false
Ollama,Local model runtime,ProcessCommandLine,ollama serve,Contains,Medium,Review,Detects the Ollama server process rather than ordinary client commands.,https://ollama.com/,Ollama,Local,DeviceProcessEvents,false
LM Studio,Local model runtime,FileName,LM Studio.exe,Exact,Medium,Review,Desktop local model runtime that can expose an OpenAI-compatible local server.,https://lmstudio.ai/,LM Studio,Local,DeviceProcessEvents,false
Codex CLI,Autonomous AI agent,ProcessCommandLine,codex,Contains,High,Review,Local coding agent capable of reading and modifying repositories and running development tasks.,https://github.com/openai/codex,OpenAI,Local,DeviceProcessEvents,false
Claude Code,Autonomous AI agent,ProcessCommandLine,claude,Contains,High,Review,"Local coding agent with shell and tool access on Windows, WSL, and supported terminals.",https://code.claude.com/docs/en/setup,Anthropic,Local,DeviceProcessEvents,false
Gemini CLI,Autonomous AI agent,ProcessCommandLine,gemini,Contains,High,Review,"Terminal agent with file, shell, web, and MCP capabilities.",https://github.com/google-gemini/gemini-cli,Google,Local,DeviceProcessEvents,false
OpenHands,Autonomous AI agent,ProcessCommandLine,openhands,Contains,High,Review,"Agent CLI with headless execution, web mode, Docker support, and automatic approval options.",https://docs.openhands.dev/openhands/usage/cli/command-reference,OpenHands,Local,DeviceProcessEvents,false
Cline,Autonomous AI agent,ProcessCommandLine,cline,Contains,High,Review,CLI and IDE-based coding agent with MCP support.,https://docs.cline.bot/getting-started/installing-cline,Cline,Local,DeviceProcessEvents / IDE inventory,false
Aider,AI coding agent,ProcessCommandLine,aider,Contains,Medium,Review,Terminal coding agent that can edit repositories and run development workflows.,https://aider.chat/docs/install.html,Aider,Local,DeviceProcessEvents,false
Cursor,Agentic IDE,FileName,Cursor*.exe,Wildcard,Medium,Review,Agent capabilities are embedded in the desktop IDE.,https://www.cursor.com/,Anysphere,Local,DeviceProcessEvents / software inventory,false
Windsurf,Agentic IDE,FileName,Windsurf*.exe,Wildcard,Medium,Review,"Cascade provides agentic code, terminal, workflow, and tool capabilities.",https://docs.windsurf.com/windsurf/cascade/cascade,Codeium,Local,DeviceProcessEvents / software inventory,false
Phishing Triage Agent,Microsoft Security Copilot agent,AgentName,Phishing Triage Agent,Exact,High,Review,Cloud agent that triages and classifies user-reported phishing.,https://learn.microsoft.com/en-us/defender-xdr/phishing-triage-agent,Microsoft,Cloud,Security Copilot / Defender audit,false
Security Alert Triage Agent,Microsoft Security Copilot agent,AgentName,Security Alert Triage Agent,Exact,High,Review,Cloud agent for triaging supported identity and cloud alerts.,https://learn.microsoft.com/en-us/defender-xdr/security-copilot-agents-defender,Microsoft,Cloud,Security Copilot / Defender audit,false
Threat Intelligence Briefing Agent,Microsoft Security Copilot agent,AgentName,Threat Intelligence Briefing Agent,Exact,High,Review,Cloud agent that generates threat intelligence briefings.,https://learn.microsoft.com/en-us/copilot/security/agents-security-copilot,Microsoft,Cloud,Security Copilot / Purview audit,false
Threat Hunting Assistant,Microsoft Security Copilot agent,AgentName,Threat Hunting Assistant,Exact,High,Review,Conversational cloud agent for threat hunting and investigation.,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-security-copilot-threat-hunting-assistant,Microsoft,Cloud,Defender / Security Copilot activity,false
Security Analyst Agent,Microsoft Security Copilot agent,AgentName,Security Analyst Agent,Exact,High,Review,"Cloud agent for identifying, assessing, and prioritizing security risks.",https://learn.microsoft.com/en-us/defender-xdr/security-analyst-agent,Microsoft,Cloud,Defender / Security Copilot activity,false
